QuestionText,QuestionLink,Asker,Edits,QuestionsAsked,Answers,Facebook,Sex,Location,Banned,Followers,Following,,
Is Quora the company 50/50 men to women?,https://www.quora.com/Is-Quora-the-company-50-50-men-to-women,Anonymous,0,0,0,0,0,0,0,0,0,,
Why do some women prefer shaving over waxing?,https://www.quora.com/Why-do-some-women-prefer-shaving-over-waxing,https://www.quora.com/profile/Edward-Williams-37,35,4,3, , , , ,0,4, , 
What are the main reasons for the increasing rates of Crime against women and children despite of the existence of so many laws for their protection?,https://www.quora.com/What-are-the-main-reasons-for-the-increasing-rates-of-Crime-against-women-and-children-despite-of-the-existence-of-so-many-laws-for-their-protection,https://www.quora.com/profile/Aditi-Chauhan-30,10,3,0, , ,"  Jaipur, Rajasthan, India", ,0,0, , 
"What are the reasons that third world women are seen as only breeding animals, sex toys and property?",https://www.quora.com/What-are-the-reasons-that-third-world-women-are-seen-as-only-breeding-animals-sex-toys-and-property,https://www.quora.com/profile/Edith-Mack-1,193,18,2, , , , ,3,13, ,http://twitter.com/DixieChikDigger
"What is the reason behind using the word ""home maker"" instead of the word ""house wife""?",https://www.quora.com/What-is-the-reason-behind-using-the-word-home-maker-instead-of-the-word-house-wife,Anonymous,0,0,0,0,0,0,0,0,0,,
"Women with ADD/ADHD,  What advice can you give young girls with the condition?",https://www.quora.com/Women-with-ADD-ADHD-What-advice-can-you-give-young-girls-with-the-condition,https://www.quora.com/profile/Sunshine-Brule,12,1,0, , , , ,0,0, , 
What is the role and participation of women in Tarai movement?,https://www.quora.com/Women/What-is-the-role-and-participation-of-women-in-Tarai-movement,https://www.quora.com/profile/Prakriti-Thapa-1,2,2,0, , , , ,0,0, , 
"Going into the 2015 Spanish general elections, what positions does Ciudadanos have regarding women, and rights for women?",https://www.quora.com/Going-into-the-2015-Spanish-general-elections-what-positions-does-Ciudadanos-have-regarding-women-and-rights-for-women,https://www.quora.com/profile/Laura-Hale,30413,622,2839,http://www.facebook.com/30800069, ,"  Madrid, Spain", ,1426,289,http://www.linkedin.com/in/laurahale,http://twitter.com/purplepopple
Why do Indian women sit to the side of a bike even if they wear a salwar kameez?,https://www.quora.com/Why-do-Indian-women-sit-to-the-side-of-a-bike-even-if-they-wear-a-salwar-kameez,Anonymous,0,0,0,0,0,0,0,0,0,,
"How do females deal with ""creeps"" or ""creepers""?",https://www.quora.com/How-do-females-deal-with-creeps-or-creepers,Anonymous,0,0,0,0,0,0,0,0,0,,
Are women actually treated badly in Tech anymore?,https://www.quora.com/Are-women-actually-treated-badly-in-Tech-anymore,Anonymous,0,0,0,0,0,0,0,0,0,,
What books by women most effectively convey the difference between a woman's perspective and a man's?,https://www.quora.com/What-books-by-women-most-effectively-convey-the-difference-between-a-womans-perspective-and-a-mans,https://www.quora.com/profile/Brad-Bigelow-1,93,3,64, , ,  Brussels, ,21,12,https://www.linkedin.com/pub/brad-bigelow/2/b72/4b1,http://twitter.com/neglectedbooks
Is it correct to say that men negatively judge women with short hair more than women negatively judge men with long hair?,https://www.quora.com/Is-it-correct-to-say-that-men-negatively-judge-women-with-short-hair-more-than-women-negatively-judge-men-with-long-hair,Anonymous,0,0,0,0,0,0,0,0,0,,
Is it considered impolite or improper to compliment a modern woman wearing modern clothing but with a hijab on her clothing or appearance?,https://www.quora.com/Is-it-considered-impolite-or-improper-to-compliment-a-modern-woman-wearing-modern-clothing-but-with-a-hijab-on-her-clothing-or-appearance,https://www.quora.com/profile/Fred-Wasnidge,10,2,1,http://www.facebook.com/1606686056250071, ,  Brussels, ,0,0, , 
"Along with jogging, which exercise a women should do to have a perfect figure?",https://www.quora.com/Along-with-jogging-which-exercise-a-women-should-do-to-have-a-perfect-figure,https://www.quora.com/profile/Riddhi-Chhabada,17,3,0, , , , ,1,5, , 
Why does it somehow seem like it's more or less acceptable for women to hit men?,https://www.quora.com/Why-does-it-somehow-seem-like-its-more-or-less-acceptable-for-women-to-hit-men,https://www.quora.com/profile/Caleb-Harrington-2,691,68,4, , , , ,2,0, , 
Would you say that women have a disadvantage when it comes to their body(biology)?,https://www.quora.com/Would-you-say-that-women-have-a-disadvantage-when-it-comes-to-their-body-biology,Anonymous,0,0,0,0,0,0,0,0,0,,
What are the main tasks of a sales woman and how do I do it?,https://www.quora.com/What-are-the-main-tasks-of-a-sales-woman-and-how-do-I-do-it,Anonymous,0,0,0,0,0,0,0,0,0,,
How many European women travelled to Florida in 2014?,https://www.quora.com/How-many-European-women-travelled-to-Florida-in-2014,Anonymous,0,0,0,0,0,0,0,0,0,,
What are some easy ways for women to look intimidating to strangers?,https://www.quora.com/What-are-some-easy-ways-for-women-to-look-intimidating-to-strangers,Anonymous,0,0,0,0,0,0,0,0,0,,
"Focusing on the gender only, who has a rougher life: male or female human being?",https://www.quora.com/Focusing-on-the-gender-only-who-has-a-rougher-life-male-or-female-human-being,Anonymous,0,0,0,0,0,0,0,0,0,,
What are some good forums To learn how to pick up woman?,https://www.quora.com/What-are-some-good-forums-To-learn-how-to-pick-up-woman,Anonymous,0,0,0,0,0,0,0,0,0,,
Who is considered the most beatiful woman that has ever existed?,https://www.quora.com/Who-is-considered-the-most-beatiful-woman-that-has-ever-existed,Anonymous,0,0,0,0,0,0,0,0,0,,
Do transgender women grow natural feminine hair without a wig?,https://www.quora.com/Do-transgender-women-grow-natural-feminine-hair-without-a-wig,https://www.quora.com/profile/Anthony-Buchanan-2,190,31,1, , ,"  Brooklyn, NY", ,0,1, , 
What do you ladies think of a man who wears panties?,https://www.quora.com/What-do-you-ladies-think-of-a-man-who-wears-panties,https://www.quora.com/profile/BC-Jackson,58,5,1, , ,"  Dallas, TX", ,0,1, , 
What it's like to have done laser treatment for the removal of unwanted facial hairs of both men and women?,https://www.quora.com/What-its-like-to-have-done-laser-treatment-for-the-removal-of-unwanted-facial-hairs-of-both-men-and-women,https://www.quora.com/profile/Saksham-Saraswat-2,314,32,7, , , , ,16,212, , 
How can a pregnant woman avoid heartburn?,https://www.quora.com/How-can-a-pregnant-woman-avoid-heartburn,https://www.quora.com/profile/Satyajit-Nadkarni,3,3,0, , , , ,4,1, , 
Is it true the between 6 pm to 6 am a women has right to refuse to go to the police station even if there is an arrest warrant?,https://www.quora.com/Is-it-true-the-between-6-pm-to-6-am-a-women-has-right-to-refuse-to-go-to-the-police-station-even-if-there-is-an-arrest-warrant,Anonymous,0,0,0,0,0,0,0,0,0,,
Are women's skirts with the split meant to be worn at the front or back?,https://www.quora.com/Are-womens-skirts-with-the-split-meant-to-be-worn-at-the-front-or-back,https://www.quora.com/profile/Matthew-Prince-6,994,69,10,http://www.facebook.com/518782385, , , ,3,13, , 
What is the minimum height required for women to join the indian air force?,https://www.quora.com/What-is-the-minimum-height-required-for-women-to-join-the-indian-air-force,Anonymous,0,0,0,0,0,0,0,0,0,,
Topic of my debate is Laws are not powerless in preventing crimes against children and women. I need to speak against the motion. What can be the points that I can highlight?,https://www.quora.com/Topic-of-my-debate-is-Laws-are-not-powerless-in-preventing-crimes-against-children-and-women-I-need-to-speak-against-the-motion-What-can-be-the-points-that-I-can-highlight,Anonymous,0,0,0,0,0,0,0,0,0,,
Shared parental leave in the UK - is a man legally entitled to the same rights as a woman?,https://www.quora.com/Shared-parental-leave-in-the-UK-is-a-man-legally-entitled-to-the-same-rights-as-a-woman,https://www.quora.com/profile/David-Waddell,2057,32,720,http://www.facebook.com/720780449, ,"Epsom, Surrey, UK", ,866,187,https://www.linkedin.com/in/davidwaddell,http://twitter.com/David_Waddell
Why do women like flowers?,https://www.quora.com/Why-do-women-like-flowers,https://www.quora.com/profile/Adam-Lim-Goh-I-Ming,307,51,25,http://www.facebook.com/711324524, ,"  Kuala Lumpur, Malaysia", ,216,989,http://www.linkedin.com/pub/i-ming/39/513/aa5,http://twitter.com/Artmaker
Is Etsy designed for women?,https://www.quora.com/Is-Etsy-designed-for-women,https://www.quora.com/profile/Dana-Gel,4,2,0,http://www.facebook.com/1683289278574965, , , ,0,0, , 
How do males and females invest differently?,https://www.quora.com/How-do-males-and-females-invest-differently,https://www.quora.com/profile/Adam-Gyozo,76,3,6, , , , ,1,1, ,http://twitter.com/SmartyTrade
How can I defend myself from pseudo-feminism?,https://www.quora.com/How-can-I-defend-myself-from-pseudo-feminism,Anonymous,0,0,0,0,0,0,0,0,0,,
What is the consumption pattern of social media amongst traditional indian women? Is there any research to support it?,https://www.quora.com/What-is-the-consumption-pattern-of-social-media-amongst-traditional-indian-women-Is-there-any-research-to-support-it,https://www.quora.com/profile/Kajal-Khanna-1,6,1,0,http://www.facebook.com/10156130028520343, ,  New Delhi, ,2,1, , 
How should I develop a blog aimed at Pakistani women fashion?,https://www.quora.com/How-should-I-develop-a-blog-aimed-at-Pakistani-women-fashion,Anonymous,0,0,0,0,0,0,0,0,0,,
Why do some men turn on looking at bra?,https://www.quora.com/Why-do-some-men-turn-on-looking-at-bra,Anonymous,0,0,0,0,0,0,0,0,0,,
What would the state of the world be if only men could have children?,https://www.quora.com/What-would-the-state-of-the-world-be-if-only-men-could-have-children,https://www.quora.com/profile/Aaron-Boutilier-3,1083,171,11, , ,"  CanadaNova Scotia, Canada.Nova Scotia, Canada.", ,3,12, , 
"What's your view about this article ""A Feminist Philosophizing of the Hindu Theology: Hindu Feminism as Maverick Feminism""?",https://www.quora.com/Whats-your-view-about-this-article-A-Feminist-Philosophizing-of-the-Hindu-Theology-Hindu-Feminism-as-Maverick-Feminism,Anonymous,0,0,0,0,0,0,0,0,0,,
Is ramayana an anti feminist book?,https://www.quora.com/Is-ramayana-an-anti-feminist-book,Anonymous,0,0,0,0,0,0,0,0,0,,
Why are woman not able to decorate their home properly during Diwali time? Is it due to improper attention on paints and colours?,https://www.quora.com/Why-are-woman-not-able-to-decorate-their-home-properly-during-Diwali-time-Is-it-due-to-improper-attention-on-paints-and-colours,https://www.quora.com/profile/Shivani-Kalra-1,94,76,0, , , , ,0,1, , 
"One fine morning, you wake up and find yourself to be a girl, what would be the 1st thing you would like to do?",https://www.quora.com/One-fine-morning-you-wake-up-and-find-yourself-to-be-a-girl-what-would-be-the-1st-thing-you-would-like-to-do,Anonymous,0,0,0,0,0,0,0,0,0,,
What is the best job after btech cse for girls?,https://www.quora.com/What-is-the-best-job-after-btech-cse-for-girls,https://www.quora.com/profile/Neha-Kamboj-3,11,7,0, , , , ,0,0, , 
Why is 2% of Quora seemingly devoted to the relationship dynamics of asian males and white females?,https://www.quora.com/Why-is-2-of-Quora-seemingly-devoted-to-the-relationship-dynamics-of-asian-males-and-white-females,https://www.quora.com/profile/Jacob-Solinsky,75,4,9,http://www.facebook.com/100002288787122, ,"  Plymouth, MN", ,5,5, , 
Do you know of any cases where the police botched a kidnapping of a woman?,https://www.quora.com/Do-you-know-of-any-cases-where-the-police-botched-a-kidnapping-of-a-woman,Anonymous,0,0,0,0,0,0,0,0,0,,
What does it feel like to be a female smoker?,https://www.quora.com/What-does-it-feel-like-to-be-a-female-smoker,Anonymous,0,0,0,0,0,0,0,0,0,,
Pregnancy: How does a woman feel upon seeing a live human being coming out of her during childbirth?,https://www.quora.com/Pregnancy/How-does-a-woman-feel-upon-seeing-a-live-human-being-coming-out-of-her-during-childbirth,Anonymous,0,0,0,0,0,0,0,0,0,,
Why does bicycle frames are different for woman and mens?,https://www.quora.com/Why-does-bicycle-frames-are-different-for-woman-and-mens,https://www.quora.com/profile/Hector-Lerma-2,113,23,12, , ,  National Polytechnic Institute (IPN), ,0,2, , 
Who was the worst woman in history?,https://www.quora.com/Who-was-the-worst-woman-in-history,https://www.quora.com/profile/Lukasz-Karbowski,1,1,0, , , , ,2,6, , 
What do women think about the WSJ's article regarding what's holding women back in the workplace?,https://www.quora.com/What-do-women-think-about-the-WSJs-article-regarding-whats-holding-women-back-in-the-workplace,Anonymous,0,0,0,0,0,0,0,0,0,,
How can you strengthen the rights of woman and children concerning healthcare in the UK?,https://www.quora.com/How-can-you-strengthen-the-rights-of-woman-and-children-concerning-healthcare-in-the-UK,Anonymous,0,0,0,0,0,0,0,0,0,,
What do you think of China's new first lady? beautiful?,https://www.quora.com/What-do-you-think-of-Chinas-new-first-lady-beautiful,Anonymous,0,0,0,0,0,0,0,0,0,,
"If someone gave a pregnant woman RU486 without her knowledge, what sort of crime that constitute (assuming the woman herself was not harmed, but she lost the fetus)?",https://www.quora.com/If-someone-gave-a-pregnant-woman-RU486-without-her-knowledge-what-sort-of-crime-that-constitute-assuming-the-woman-herself-was-not-harmed-but-she-lost-the-fetus,Anonymous,0,0,0,0,0,0,0,0,0,,
What are some inspirational success stories of Indian Muslim Women in any field (except Bollywood) in contemporary India?,https://www.quora.com/What-are-some-inspirational-success-stories-of-Indian-Muslim-Women-in-any-field-except-Bollywood-in-contemporary-India,Anonymous,0,0,0,0,0,0,0,0,0,,
Why Delhi is surrounded by the most pathetic women?,https://www.quora.com/Why-Delhi-is-surrounded-by-the-most-pathetic-women,Anonymous,0,0,0,0,0,0,0,0,0,,
What is the attitude toward jobs in Nonevable between men and woman?,https://www.quora.com/What-is-the-attitude-toward-jobs-in-Nonevable-between-men-and-woman,https://www.quora.com/profile/Ephraim-Wikelund,11,10,0, , , , ,0,1, , 
"Who were the most powerful women in history, who weren't royals, empresses or elected officials?",https://www.quora.com/Who-were-the-most-powerful-women-in-history-who-werent-royals-empresses-or-elected-officials,https://www.quora.com/profile/Rich-Payne,11,4,0,http://www.facebook.com/223408863, , , ,126,59, ,http://twitter.com/richpayne88
Is it possible for a woman to start an IT career anew after 30's?,https://www.quora.com/Is-it-possible-for-a-woman-to-start-an-IT-career-anew-after-30s,https://www.quora.com/profile/Sharmistha-DasPurkayastha,1,1,0,http://www.facebook.com/1847029088, ,"  Silchar, Assam, India", ,4,5, , 
"How old is segregation? Specifically, segregation by sex (male-female)?",https://www.quora.com/How-old-is-segregation-Specifically-segregation-by-sex-male-female,https://www.quora.com/profile/Bruce-Redd-McConkie,45,4,14, , ,, ,0,0, , 
How are some ways in which modern feminism is losing its touch?,https://www.quora.com/How-are-some-ways-in-which-modern-feminism-is-losing-its-touch,Anonymous,0,0,0,0,0,0,0,0,0,,
Conception: Are women most likely to conceive during their period?,https://www.quora.com/Conception/Are-women-most-likely-to-conceive-during-their-period,Anonymous,0,0,0,0,0,0,0,0,0,,
"For you women who live in a city, what is your biggest obstacle when it comes to healthy eating?",https://www.quora.com/For-you-women-who-live-in-a-city-what-is-your-biggest-obstacle-when-it-comes-to-healthy-eating,https://www.quora.com/profile/Denine-Cimmons-Stracker,5,1,0, , ,  New York Presbyterian Hospital, ,0,0, , 
"Are 30/31 inch hips big, average or small for a 5'4'', 100 pound woman?",https://www.quora.com/Are-30-31-inch-hips-big-average-or-small-for-a-54-100-pound-woman,https://www.quora.com/profile/Angelina-Higgins,13,2,0, , , , ,0,0, , 
"If a man and a woman were of the same height and both had a BMI of 17, who would look thinner, the woman or the man?",https://www.quora.com/If-a-man-and-a-woman-were-of-the-same-height-and-both-had-a-BMI-of-17-who-would-look-thinner-the-woman-or-the-man,https://www.quora.com/profile/Angelina-Higgins,13,2,0, , , , ,0,0, , 
Seat reservation for women in pune is for 1st station only or for all stations?,https://www.quora.com/Seat-reservation-for-women-in-pune-is-for-1st-station-only-or-for-all-stations,https://www.quora.com/profile/Sagar-Shekhar-Andhari,3,2,0, , , , ,0,0, , 
"Is their any age limit for women reservation seats in pmt, pune?",https://www.quora.com/Is-their-any-age-limit-for-women-reservation-seats-in-pmt-pune,https://www.quora.com/profile/Sagar-Shekhar-Andhari,3,2,0, , , , ,0,0, , 
What are some legal rights every Indian woman should know about?,https://www.quora.com/What-are-some-legal-rights-every-Indian-woman-should-know-about,Anonymous,0,0,0,0,0,0,0,0,0,,
"As a single young woman at night, is it better to walk down all empty neighborhood streets, or a busier main street with shady characters right before a (shorter) empty street?",https://www.quora.com/As-a-single-young-woman-at-night-is-it-better-to-walk-down-all-empty-neighborhood-streets-or-a-busier-main-street-with-shady-characters-right-before-a-shorter-empty-street,Anonymous,0,0,0,0,0,0,0,0,0,,
"What do women prefer on men? Briefs, boxer briefs or thongs?",https://www.quora.com/What-do-women-prefer-on-men-Briefs-boxer-briefs-or-thongs,https://www.quora.com/profile/Levi-Joy,31,1,20, , , , ,0,0, , 
What makes women unique in the job market?,https://www.quora.com/What-makes-women-unique-in-the-job-market,Anonymous,0,0,0,0,0,0,0,0,0,,
Do men tend to stay mad longer than women?,https://www.quora.com/Do-men-tend-to-stay-mad-longer-than-women,https://www.quora.com/profile/Sheynique-Lewis,4,0,0, , , , ,0,0, , 
What is the ideal time after which women employees shall be eligible to get a cab home from work? Is there any Corporate Indian law regarding the same?,https://www.quora.com/What-is-the-ideal-time-after-which-women-employees-shall-be-eligible-to-get-a-cab-home-from-work-Is-there-any-Corporate-Indian-law-regarding-the-same,https://www.quora.com/profile/Pragya-Swastik,9,1,2,http://www.facebook.com/100001668100091, ,  New Delhi, ,48,14, ,http://twitter.com/PragyaSwastik
What countries in Europe have quotas for women in their national parliaments?,https://www.quora.com/What-countries-in-Europe-have-quotas-for-women-in-their-national-parliaments,https://www.quora.com/profile/Laura-Hale,30414,622,2839,http://www.facebook.com/30800069, ,"  Madrid, Spain", ,1426,289,http://www.linkedin.com/in/laurahale,http://twitter.com/purplepopple
"Male bashing by girl in a police station, and video uploaded on internet by news channel without evidence. Can the same be done with women criminals? What do you think about this strategy to combat crimes ?",https://www.quora.com/Male-bashing-by-girl-in-a-police-station-and-video-uploaded-on-internet-by-news-channel-without-evidence-Can-the-same-be-done-with-women-criminals-What-do-you-think-about-this-strategy-to-combat-crimes,Anonymous,0,0,0,0,0,0,0,0,0,,
What is the best way to reduce belly fat through diet and exercise for women?,https://www.quora.com/What-is-the-best-way-to-reduce-belly-fat-through-diet-and-exercise-for-women,Anonymous,0,0,0,0,0,0,0,0,0,,
Is it too late to begin medical school as a 30 yo female?,https://www.quora.com/Is-it-too-late-to-begin-medical-school-as-a-30-yo-female,https://www.quora.com/profile/Tara-Stevens-2,54,7,4, , , , ,0,1, , 
Why Muslim women wear Hijabs? Do all Muslim women wear it around the globe?,https://www.quora.com/Why-Muslim-women-wear-Hijabs-Do-all-Muslim-women-wear-it-around-the-globe,Anonymous,0,0,0,0,0,0,0,0,0,,
Are Shia women prettier than Sunni women on an average?,https://www.quora.com/Are-Shia-women-prettier-than-Sunni-women-on-an-average,Anonymous,0,0,0,0,0,0,0,0,0,,
What is female?,https://www.quora.com/What-is-female,https://www.quora.com/profile/Ashish-Shukla-165,3,3,0, , , , ,0,0, , 
How do you massage a woman?,https://www.quora.com/How-do-you-massage-a-woman-1,Anonymous,0,0,0,0,0,0,0,0,0,,
Why do some men like abortion as much as some women?,https://www.quora.com/Why-do-some-men-like-abortion-as-much-as-some-women,Anonymous,0,0,0,0,0,0,0,0,0,,
"Does Quora deliberately suppress (warn, collapse, even delete) content which is against feminism? If so, why?",https://www.quora.com/Does-Quora-deliberately-suppress-warn-collapse-even-delete-content-which-is-against-feminism-If-so-why,https://www.quora.com/profile/Sambhav-Vashisht,188,11,36, , ,"  Mumbai, Maharashtra, India", ,12,87, , 
Why don't more women embrace feminism by having large families?,https://www.quora.com/Why-dont-more-women-embrace-feminism-by-having-large-families,Anonymous,0,0,0,0,0,0,0,0,0,,
"If you get a chance to recommend a strategy to a TOP technology company to increase and promote women in computing, what would you recommend?",https://www.quora.com/If-you-get-a-chance-to-recommend-a-strategy-to-a-TOP-technology-company-to-increase-and-promote-women-in-computing-what-would-you-recommend,https://www.quora.com/profile/La-You-1,11,1,0, , , , ,0,1, , 
"Other than the well known Trojan war, what other wars were started over a woman?",https://www.quora.com/Other-than-the-well-known-Trojan-war-what-other-wars-were-started-over-a-woman,https://www.quora.com/profile/Harpal-Singh-51,48,26,2, , , , ,1,5, , 
Do woman who wear yoga pants in public want to be looked at?,https://www.quora.com/Do-woman-who-wear-yoga-pants-in-public-want-to-be-looked-at,https://www.quora.com/profile/Jason-Priya,405,6,146, , ,"  Atlanta, GA", ,70,4, , 
What should be the skin regime for a 26 year old lady with a sensitive skin?,https://www.quora.com/What-should-be-the-skin-regime-for-a-26-year-old-lady-with-a-sensitive-skin,Anonymous,0,0,0,0,0,0,0,0,0,,
What's some books I can read about things that men do that women find sexy?,https://www.quora.com/Whats-some-books-I-can-read-about-things-that-men-do-that-women-find-sexy,Anonymous,0,0,0,0,0,0,0,0,0,,
"If you, a female, have been mistreated by your father, how do you feel about men in general now?",https://www.quora.com/If-you-a-female-have-been-mistreated-by-your-father-how-do-you-feel-about-men-in-general-now,https://www.quora.com/profile/Angela-Pang,852,75,68, , , , ,53,80, , 
Anti-feminists: are you against feminism in principle?,https://www.quora.com/Anti-feminists-are-you-against-feminism-in-principle,https://www.quora.com/profile/Angela-Pang,852,75,68, , , , ,53,80, , 
"If you, a male, have been mistreated by your mother, how do you feel about women in general now?",https://www.quora.com/If-you-a-male-have-been-mistreated-by-your-mother-how-do-you-feel-about-women-in-general-now,https://www.quora.com/profile/Angela-Pang,852,75,68, , , , ,53,80, , 
Should seats be reserved for women on a public bus?,https://www.quora.com/Should-seats-be-reserved-for-women-on-a-public-bus,https://www.quora.com/profile/Supriyo-Manna,74,14,14, , ,"  Kolkata, West Bengal, India", ,1,7, , 
How long can you wait to transplant a fetus from one woman's womb to a different woman's womb to continue on with the pregnancy? What issues make it impossible to wait any longer than this theoretical limit?,https://www.quora.com/How-long-can-you-wait-to-transplant-a-fetus-from-one-womans-womb-to-a-different-womans-womb-to-continue-on-with-the-pregnancy-What-issues-make-it-impossible-to-wait-any-longer-than-this-theoretical-limit,https://www.quora.com/profile/Price-Clark-1,7,1,0, , , , ,1,1, , 
I was molested at age 10 by a older friend and I think it has impacted the way I see women/girls in general. What should I do?,https://www.quora.com/I-was-molested-at-age-10-by-a-older-friend-and-I-think-it-has-impacted-the-way-I-see-women-girls-in-general-What-should-I-do,Anonymous,0,0,0,0,0,0,0,0,0,,
I am a woman who is 24 but look 22. How can I look my age?,https://www.quora.com/I-am-a-woman-who-is-24-but-look-22-How-can-I-look-my-age,Anonymous,0,0,0,0,0,0,0,0,0,,
Why not no reservation for women in engineering and science institutions/STEM?,https://www.quora.com/Why-not-no-reservation-for-women-in-engineering-and-science-institutions-STEM,https://www.quora.com/profile/Deeksha-Trehan,80,12,17, , , , ,15,10, , 
Why is there negative stigma associated with women becoming housewives?,https://www.quora.com/Why-is-there-negative-stigma-associated-with-women-becoming-housewives,https://www.quora.com/profile/Basila-Nathan-1,51,11,1,http://www.facebook.com/755394588, ,"  University of California, Berkeley", ,22,23, , 
How can I understand why women are good listeners and men are good problem solvers?,https://www.quora.com/How-can-I-understand-why-women-are-good-listeners-and-men-are-good-problem-solvers,Anonymous,0,0,0,0,0,0,0,0,0,,
What innovative and revolutionary measures can be taken to reduce gender discrimination and increase women's safety in India?,https://www.quora.com/What-innovative-and-revolutionary-measures-can-be-taken-to-reduce-gender-discrimination-and-increase-womens-safety-in-India,Anonymous,0,0,0,0,0,0,0,0,0,,
Which are some single woman leaders in India (in any field)?,https://www.quora.com/Which-are-some-single-woman-leaders-in-India-in-any-field,Anonymous,0,0,0,0,0,0,0,0,0,,
Can women with PCOS-Anovulation condition naturally conceive after IUI miscarriage?,https://www.quora.com/Can-women-with-PCOS-Anovulation-condition-naturally-conceive-after-IUI-miscarriage,Anonymous,0,0,0,0,0,0,0,0,0,,
Why are there dramatically less females than males in India and China?,https://www.quora.com/Why-are-there-dramatically-less-females-than-males-in-India-and-China,Anonymous,0,0,0,0,0,0,0,0,0,,
What exercise mistakes do most women make in the gym?,https://www.quora.com/What-exercise-mistakes-do-most-women-make-in-the-gym,https://www.quora.com/profile/Michael-Moody-14,112,18,25,http://www.facebook.com/10153385886618550, ,  Chicago, ,1,0,https://www.linkedin.com/in/michaelmoodyfitness,http://twitter.com/MichaelMoodyFit
How can I stop putting women on a pedestal?,https://www.quora.com/How-can-I-stop-putting-women-on-a-pedestal,Anonymous,0,0,0,0,0,0,0,0,0,,
How does one understand a strong independent women?,https://www.quora.com/How-does-one-understand-a-strong-independent-women,https://www.quora.com/profile/Ajay-Shantilal-Mutha,257,43,12,http://www.facebook.com/100004241643843, ,"  Mumbai, Maharashtra, India", ,2,0, , 
How can India empower women who might possibly have done far better in contribution to India's development and growth other than reservation and quotas?,https://www.quora.com/How-can-India-empower-women-who-might-possibly-have-done-far-better-in-contribution-to-Indias-development-and-growth-other-than-reservation-and-quotas,https://www.quora.com/profile/Alfred-Borden-3,1453,27,44, , , , ,36,1868, , 
Brand name: Can anyone suggest a good brand name for my Organic sanitary pad product?,https://www.quora.com/Brand-name-Can-anyone-suggest-a-good-brand-name-for-my-Organic-sanitary-pad-product,Anonymous,0,0,0,0,0,0,0,0,0,,
How do I make awareness to use organic sanitary pads to Indian females?,https://www.quora.com/How-do-I-make-awareness-to-use-organic-sanitary-pads-to-Indian-females,Anonymous,0,0,0,0,0,0,0,0,0,,
Do more boys act out than girls?,https://www.quora.com/Do-more-boys-act-out-than-girls,Anonymous,0,0,0,0,0,0,0,0,0,,
What things should not be said in front of women?,https://www.quora.com/What-things-should-not-be-said-in-front-of-women,https://www.quora.com/profile/Brian-Fey,40805,3388,2284,http://www.facebook.com/504666037, ,  Bosque VillageI, ,7058,816,https://www.linkedin.com/in/feybrian,http://twitter.com/brianfey
How are women all over the world misusing their rights?,https://www.quora.com/How-are-women-all-over-the-world-misusing-their-rights,https://www.quora.com/profile/Akshita-Singh-22,6,1,2, , , , ,3,20, , 
Why do women synchronize their menstrual cycles?,https://www.quora.com/Why-do-women-synchronize-their-menstrual-cycles,Anonymous,0,0,0,0,0,0,0,0,0,,
Why does it seem like some egalitarians hate some feminists?,https://www.quora.com/Why-does-it-seem-like-some-egalitarians-hate-some-feminists,Anonymous,0,0,0,0,0,0,0,0,0,,
"If a lady exhibits her narcissist nature, is it taken as an advantage by the opposite person?",https://www.quora.com/If-a-lady-exhibits-her-narcissist-nature-is-it-taken-as-an-advantage-by-the-opposite-person,https://www.quora.com/profile/Srilakshmi-Mani,57,18,1,http://www.facebook.com/100002469060921, ,"  Visakhapatnam, Andhra Pradesh, India", ,30,29, , 
Makeup (cosmetics): What makes the face brighter in women's makeup?,https://www.quora.com/Makeup-cosmetics/What-makes-the-face-brighter-in-womens-makeup,https://www.quora.com/profile/Rohit-Yadav-301,3,4,0, , , , ,0,1, , 
What is the best martial art to take for a woman who wants to protect her boyfriend?,https://www.quora.com/What-is-the-best-martial-art-to-take-for-a-woman-who-wants-to-protect-her-boyfriend,Anonymous,0,0,0,0,0,0,0,0,0,,
How did white women arrive to America? Were there female explorers as well?,https://www.quora.com/How-did-white-women-arrive-to-America-Were-there-female-explorers-as-well,https://www.quora.com/profile/Anestis-Spanos,602,93,11, , ,  Athens, ,4,1, , 
Do men really have much smaller leg muscles than women?,https://www.quora.com/Do-men-really-have-much-smaller-leg-muscles-than-women,https://www.quora.com/profile/Kacey-Bloom,19,2,0, , , , ,0,0, , 
Why do some women like to wear thongs?,https://www.quora.com/Why-do-some-women-like-to-wear-thongs,Anonymous,0,0,0,0,0,0,0,0,0,,
"What do women mean when they say ""looking for someone with ambition?"" On a post?",https://www.quora.com/What-do-women-mean-when-they-say-looking-for-someone-with-ambition-On-a-post,Anonymous,0,0,0,0,0,0,0,0,0,,
Can we make a law that says only women can vote on issues related to abortion?,https://www.quora.com/Can-we-make-a-law-that-says-only-women-can-vote-on-issues-related-to-abortion,Anonymous,0,0,0,0,0,0,0,0,0,,
What rights do indian women enjoy when compared with women of other countries?,https://www.quora.com/What-rights-do-indian-women-enjoy-when-compared-with-women-of-other-countries,Anonymous,0,0,0,0,0,0,0,0,0,,
